UNIT_CODE,FULL_NAME
ABLI,Abraham Lincoln Birthplace National Historical Park
ACAD,Acadia National Park
AGFO,Agate Fossil Beds National Monument
ALAG,Alagnak Wild River National Wild And Scenic River
ALFL,Alibates Flint Quarries National Monument
ALPO,Allegheny Portage Railroad National Historic Site
AMIS,Amistad National Recreation Area
AMME,American Memorial Park
ANAC,Anacostia Park
ANIA,Aniakchak National Monument and Preserve
ANTI,Antietam National Battlefield
APCO,Appomattox Court House National Historical Park
APIS,Apostle Islands National Lakeshore
APPA,Appalachian National Scenic Trail
ARCH,Arches National Park
ARPO,Arkansas Post National Memorial
ASIS,Assateague Island National Seashore
AZRU,Aztec Ruins National Monument
BADL,Badlands National Park
BAND,Bandelier National Monument
BAWA,Baltimore-Washington National Parkway
BELA,Bering Land Bridge National Preserve
BEOL,Bent's Old Fort National Historic Site
BIBE,Big Bend National Park
BICA,Bighorn Canyon National Recreation Area
BICY,Big Cypress National Preserve
BIHO,Big Hole National Battlefield
BISC,Biscayne National Park
BISO,Big South Fork National River and Recreation Area National River
BITH,Big Thicket National Preserve
BLCA,Black Canyon Of The Gunnison National Park
BLRI,Blue Ridge Parkway National Parkway
BLUE,Bluestone National Scenic River National Wild And Scenic River
BOHA,Boston Harbor Islands National Recreation Area
BOWA,Booker T. Washington National Monument
BRCA,Bryce Canyon National Park
BUFF,Buffalo National River
BUIS,Buck Island Reef National Monument
CABR,Cabrillo National Monument
CACH,Canyon De Chelly National Monument
CACO,Cape Cod National Seashore
CAGR,Casa Grande Ruins National Monument
CAHA,Cape Hatteras National Seashore
CAHE,Capitol Hill Parks
CAKR,Cape Krusenstern National Monument
CALO,Cape Lookout National Seashore
CANA,Canaveral National Seashore
CANY,Canyonlands National Park
CARE,Capitol Reef National Park
CARL,Carl Sandburg Home National Historic Site
CASA,Castillo De San Marcos National Monument
CATO,Catoctin Mountain Park
CAVE,Carlsbad Caverns National Park
CAVO,Capulin Volcano National Monument
CEBR,Cedar Breaks National Monument
CHAT,Chattahoochee River National Recreation Area
CHCH,Chickamauga and Chattanooga National Military Park
CHCU,Chaco Culture National Historical Park
CHIC,Chickasaw National Recreation Area
CHIR,Chiricahua National Monument
CHIS,Channel Islands National Park
CHOH,Chesapeake and Ohio Canal National Historical Park
CIRO,City Of Rocks National Reserve
COLM,Colorado National Monument
COLO,Colonial National Historical Park
CONG,Congaree National Park
CORO,Coronado National Memorial
COWP,Cowpens National Battlefield
CRLA,Crater Lake National Park
CRMO,Craters Of The Moon National Monument and Preserve
CUGA,Cumberland Gap National Historical Park
CUIS,Cumberland Island National Seashore
CURE,Curecanti National Recreation Area
CUVA,Cuyahoga Valley National Park
DENA,Denali National Park and Preserve
DEPO,Devils Postpile National Monument
DETO,Devils Tower National Monument
DEVA,Death Valley National Park
DEWA,Delaware Water Gap National Recreation Area
DINO,Dinosaur National Monument
DRTO,Dry Tortugas National Park
EBLA,Ebey's Landing NH Reserve National Reserve
EFMO,Effigy Mounds National Monument
EISE,Eisenhower National Historic Site
ELMA,El Malpais National Monument
ELMO,El Morro National Monument
EVER,Everglades National Park
FIIS,Fire Island National Seashore
FLFO,Florissant Fossil Beds National Monument
FOBO,Fort Bowie National Historic Site
FOBU,Fossil Butte National Monument
FOCA,Fort Caroline National Memorial
ALKA,Ala Kahakai National Historic Trail
FODA,Fort Davis National Historic Site
FODO,Fort Donelson National Battlefield
FOFR,Fort Frederica National Monument
FOLA,Fort Laramie National Historic Site
FOLS,Fort Larned National Historic Site
FOMA,Fort Matanzas National Monument
FONE,Fort Necessity National Battlefield
FOPO,Fort Point National Historic Site
FOPU,Fort Pulaski National Monument
FOSU,Fort Sumter National Monument
FOUN,Fort Union National Monument
FOUS,Fort Union Trading Post National Historic Site
FOVA,Fort Vancouver National Historic Site
FOWA,Fort Washington Park
FRDO,Frederick Douglass National Historic Site
FRHI,Friendship Hill National Historic Site
FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park National Military Park
GAAR,Gates Of The Arctic National Park and Preserve
GARI,Gauley River National Recreation Area
GATE,Gateway National Recreation Area
GETT,Gettysburg National Military Park
GEWA,George Washington Birthplace National Monument
GICL,Gila Cliff Dwellings National Monument
GLAC,Glacier National Park
GLBA,Glacier Bay National Park and Preserve
GLCA,Glen Canyon National Recreation Area
GOGA,Golden Gate National Recreation Area
GOSP,Golden Spike National Historic Site
GRBA,Great Basin National Park
GRCA,Grand Canyon National Park
GREE,Greenbelt Park
GRKO,Grant-Kohrs Ranch National Historic Site
GRPO,Grand Portage National Monument
GRSA,Great Sand Dunes National Park and Preserve
GRSM,Great Smoky Mountains National Park
GRTE,Grand Teton National Park
GUCO,Guilford Courthouse National Military Park
GUIS,Gulf Islands National Seashore
GUMO,Guadalupe Mountains National Park
GWCA,George Washington Carver National Monument
GWMP,George Washington Memorial Parkway National Parkway
HAFE,Harpers Ferry National Historical Park
HAFO,Hagerman Fossil Beds National Monument
HAHA,Harmony Hall
HALE,Haleakala National Park
HAVO,Hawaii Volcanoes National Park
HEHO,Herbert Hoover National Historic Site
HOBE,Horseshoe Bend National Military Park
HOCU,Hopewell Culture National Historical Park
HOFU,Hopewell Furnace National Historic Site
HOME,Homestead NM of America National Monument
HOSP,Hot Springs National Park
HOVE,Hovenweep National Monument
HUTR,Hubbell Trading Post National Historic Site
INDU,Indiana Dunes National Lakeshore
ISRO,Isle Royale National Park
JECA,Jewel Cave National Monument
JELA,Jean Lafitte National Historical Park and Preserve
JODA,John Day Fossil Beds National Monument
JOFL,Johnstown Flood National Memorial
JOMU,John Muir National Historic Site
JOTR,Joshua Tree National Park
KAHO,Kaloko-Honokohau National Historical Park
KALA,Kalaupapa National Historical Park
KATM,Katmai National Park and Preserve
KEFJ,Kenai Fjords National Park
KEMO,Kennesaw Mountain National Battlefield Park
KIMO,Kings Mountain National Military Park
KLGO,Klondike Gold Rush National Historical Park
KNRI,Knife River Indian Villages National Historic Site
KOVA,Kobuk Valley National Park
LABE,Lava Beds National Monument
LACL,Lake Clark National Park and Preserve
LAKE,Lake Mead National Recreation Area
LAMR,Lake Meredith National Recreation Area
LARO,Lake Roosevelt National Recreation Area
LAVO,Lassen Volcanic National Park
LEWI,Lewis and Clark National Historical Park
LIBI,Little Bighorn Battlefield National Monument
LIBO,Lincoln Boyhood National Memorial
LIRI,Little River Canyon National Preserve
LYJO,Lyndon B. Johnson National Historical Park
MABE,Mary McLeod Bethune Council House National Historic Site
MABI,Marsh-Billings-Rockefeller National Historical Park
MACA,Mammoth Cave National Park
MANA,Manassas National Battlefield Park
CHPI,Charles Pinckney National Historic Site
MANZ,Manzanar National Historic Site
MEVE,Mesa Verde National Park
MIMA,Minute Man National Historical Park
MISS,Mississippi National River and Recreation Areas National River
MNRR,Missouri National Recreational River National Wild And Scenic River
MOCA,Montezuma Castle National Monument
MOCR,Moores Creek National Battlefield
MOJA,Mojave National Preserve
MONO,Monocacy National Battlefield
MORA,Mount Rainier National Park
MORR,Morristown National Historical Park
MORU,Mount Rushmore National Memorial
MUWO,Muir Woods National Monument
NABR,Natural Bridges National Monument
NACE,National Capital Parks-East
NATR,Natchez Trace Parkway National Parkway
NAVA,Navajo National Monument
NEPE,Nez Perce National Historical Park
NERI,New River Gorge National River
NIOB,Niobrara National Scenic River National Wild And Scenic River
NISI,Ninety Six National Historic Site
NOAT,Noatak National Preserve
NOCA,North Cascades National Park
NPSA,National Park of American Samoa National Park
OBRI,Obed Wild and Scenic River National Wild And Scenic River
OCMU,Ocmulgee National Monument
OLYM,Olympic National Park
ORCA,Oregon Caves National Monument
ORPI,Organ Pipe Cactus National Monument
OZAR,Ozark National Scenic Riverways National River
PAAL,Palo Alto Battlefield National Historical Park
PAIS,Padre Island National Seashore
PECO,Pecos National Historical Park
PEFO,Petrified Forest National Park
PERI,Pea Ridge National Military Park
PETE,Petersburg National Battlefield
PETR,Petroglyph National Monument
PINN,Pinnacles National Park
PIPE,Pipestone National Monument
PIRO,Pictured Rocks National Lakeshore
PISC,Piscataway Park
PISP,Pipe Spring National Monument
PORE,Point Reyes National Seashore
PRWI,Prince William Forest Park
PUHE,Puukohola Heiau National Historic Site
PUHO,Pu'uhonua o Honaunau National Historical Park
RABR,Rainbow Bridge National Monument
REDW,Redwood National Park
RICH,Richmond National Battlefield Park
ROCR,Rock Creek Park
ROMO,Rocky Mountain National Park
ROVA,Roosevelt-Vanderbilt Headquarters
RUCA,Russell Cave National Monument
SAAN,San Antonio Missions National Historical Park
SACN,Saint Croix National Scenic River National Wild And Scenic River
SAGA,Saint-Gaudens National Historic Site
SAGU,Saguaro National Park
SAHI,Sagamore Hill National Historic Site
SAIR,Saugus Iron Works National Historic Site
SAJH,San Juan Island National Historical Park
SAMO,Santa Monica Mountains National Recreation Area
SAPU,Salinas Pueblo Missions National Monument
SARA,Saratoga National Historical Park
SCBL,Scotts Bluff National Monument
SEBE,Sewall-Belmont House National Historic Site
SEKI,Sequoia and Kings Canyon National Parks
SHEN,Shenandoah National Park
SHIL,Shiloh National Military Park
SITK,Sitka National Historical Park
SLBE,Sleeping Bear Dunes National Lakeshore
STRI,Stones River National Battlefield
SUCR,Sunset Crater Volcano National Monument
TAPR,Tallgrass Prairie National Preserve
THRO,Theodore Roosevelt National Park
THST,Thomas Stone National Historic Site
TICA,Timpanogos Cave National Monument
TIMU,Timucuan Ecological and Historic Preserve
TONT,Tonto National Monument
TUMA,Tumacacori National Historical Park
TUZI,Tuzigoot National Monument
UPDE,Upper Delaware National Scenic and Recreation River National Wild And Scenic River
VAFO,Valley Forge National Historical Park
VICK,Vicksburg National Military Park
VIIS,Virgin Islands National Park
VOYA,Voyageurs National Park
WABA,Washita Battlefield National Historic Site
WACA,Walnut Canyon National Monument
WAPA,War In The Pacific National Historical Park
WEFA,Weir Farm National Historic Site
EUON,Eugene O'Neill National Historic Site
WHIS,Whiskeytown National Recreation Area
WHMI,Whitman Mission National Historic Site
WHSA,White Sands National Monument
WICA,Wind Cave National Park
WICR,Wilson's Creek National Battlefield
WOTR,Wolf Trap National Park for the Performing Arts
WRST,Wrangell - St Elias National Park and Preserve
WUPA,Wupatki National Monument
YELL,Yellowstone National Park
YOSE,Yosemite National Park
YUCH,Yukon-Charley Rivers National Preserve
YUHO,Yucca House National Monument
ZION,Zion National Park
FOMO,Fort Moultrie National Monument
FORA,Fort Raleigh National Historic Site
POCH,Port Chicago Naval Magazine National Memorial
PRSF,Presidio of San Francisco
RIGR,Rio Grande Wild and Scenic River National Wild And Scenic River
SAND,Sand Creek Massacre National Historic Site
WRBR,Wright Brothers National Memorial
VALR,Valor in the Pacific National Monument USS Arizona Memorial National Memorial
